game,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,P15,P14,P13,P12,P11
1,2003-09-29,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,"49.765,82","689,84","10,00","4,00","2,00"
2,2003-10-06,23,15,5,4,12,16,20,6,11,19,24,1,9,13,7,"596.323,70","1.388,95","10,00","4,00","2,00"
3,2003-10-13,20,23,12,8,6,1,7,11,14,4,16,10,9,17,24,"400.623,70","2.173,36","10,00","4,00","2,00"
4,2003-10-20,16,5,25,24,23,8,12,2,17,18,1,10,4,19,13,"902.226,02","1.498,72","10,00","4,00","2,00"
5,2003-10-27,15,13,20,2,11,24,9,16,4,23,25,12,8,19,1,"380.017,55","687,49","10,00","4,00","2,00"
6,2003-11-03,23,19,1,5,7,21,16,10,15,25,6,2,12,4,17,"489.140,06","1.066,83","10,00","4,00","2,00"
7,2003-11-10,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,"104.625,29","301,59","10,00","4,00","2,00"
8,2003-11-17,19,16,18,9,13,8,5,25,17,10,6,15,1,22,20,"1.201.958,08","2.012,21","10,00","4,00","2,00"
9,2003-11-24,21,4,17,5,3,13,16,9,20,24,25,19,11,15,10,"336.053,65","1.061,60","10,00","4,00","2,00"
10,2003-12-01,24,19,8,23,6,2,20,11,9,3,4,10,5,12,14,"1.157,08","10,00","4,00","2,00","1.025.945,00"
11,2003-12-08,24,9,8,19,20,22,6,10,11,16,7,25,23,2,12,"1.855,82","10,00","4,00","2,00","2.351.000,93"
12,2003-12-15,11,5,25,1,9,8,16,4,7,24,17,2,12,14,10,"3.490.966,18","771,32","10,00","4,00","2,00"
13,2003-12-22,13,6,10,5,8,14,3,11,16,15,9,17,19,7,23,"269.157,25","482,84","10,00","4,00","2,00"
14,2003-12-29,14,21,13,19,20,6,9,5,7,23,18,1,15,2,25,"411.362,89","1.191,21","10,00","4,00","2,00"
15,2004-01-05,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,"27.525,68","125,58","10,00","4,00","2,00"
16,2004-01-12,24,17,5,8,7,12,13,2,15,10,19,25,23,21,6,"83.935,77","296,98","10,00","4,00","2,00"
17,2004-01-19,13,20,17,1,6,7,2,14,5,9,16,19,3,21,18,"1.427.169,94","1.911,39","10,00","4,00","2,00"
18,2004-01-26,2,23,10,7,11,14,17,22,15,6,24,8,19,20,18,"487.887,61","2.030,05","10,00","4,00","2,00"
19,2004-02-02,15,17,10,23,11,24,13,14,6,2,8,5,20,16,7,"82.040,05","428,20","10,00","4,00","2,00"
20,2004-02-09,4,9,8,24,16,20,3,17,18,19,7,6,23,14,10,"122.882,04","507,17","10,00","4,00","2,00"
21,2004-02-16,5,2,1,22,19,8,24,4,25,23,18,20,14,11,16,"530.990,23","2.160,45","10,00","4,00","2,00"
22,2004-02-25,13,15,5,9,7,10,1,3,22,2,25,14,6,4,12,"1.081.149,89","957,34","10,00","4,00","2,00"
23,2004-03-01,10,11,5,19,18,14,6,4,20,1,8,3,12,16,17,"1.178.452,05","933,55","10,00","4,00","2,00"
24,2004-03-08,1,19,21,14,2,23,25,5,20,11,7,10,24,17,3,"662.295,89","970,40","10,00","4,00","2,00"
25,2004-03-15,4,23,20,2,5,13,7,9,24,3,1,6,14,22,16,"1.437,73","10,00","4,00","2,00","1.398.910,67"
26,2004-03-22,19,11,7,16,8,21,5,10,20,13,23,9,17,14,22,"970.676,17","1.077,21","10,00","4,00","2,00"
27,2004-03-29,25,6,22,21,11,24,3,14,12,13,20,8,10,15,18,"811.005,39","1.491,73","10,00","4,00","2,00"
28,2004-04-05,18,21,11,7,9,3,20,16,14,12,13,17,1,19,10,"536.916,65","827,73","10,00","4,00","2,00"
29,2004-04-12,13,14,6,1,24,4,8,5,17,22,21,19,20,9,16,"317.538,81","1.492,19","10,00","4,00","2,00"
30,2004-04-19,22,2,1,17,8,4,19,20,11,14,6,21,7,23,3,"813.271,34","2.020,55","10,00","4,00","2,00"
31,2004-04-26,1,3,22,14,21,17,24,15,20,13,2,19,4,25,9,"503.451,70","2.589,18","10,00","4,00","2,00"
32,2004-05-03,10,14,9,16,15,7,22,6,4,2,1,17,23,11,20,"706.634,89","1.577,31","10,00","4,00","2,00"
33,2004-05-10,8,20,12,16,10,21,5,2,23,19,11,24,1,14,7,"109.171,84","308,91","10,00","4,00","2,00"
